String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
(GiGyGx)^2,835,165,"[3, 2, 1, 3, 2, 1]",[3 2 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.835,0.165,6
GyGy(GiGyGx)GxGx,508,492,"[2, 2, 3, 2, 1, 1, 1]",[2 2 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.508,0.492,7
(GiGyGxGxGyGy)Gy,1000,0,"[3, 2, 1, 1, 2, 2, 2]",[3 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,7
(GiGyGyGyGxGx)Gy,1000,0,"[3, 2, 2, 2, 1, 1, 2]",[3 2 2 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,7
Gy(GiGyGyGyGxGx),380,620,"[2, 3, 2, 2, 2, 1, 1]",[2 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.38,0.62,7
Gy(GiGxGx)^2,470,530,"[2, 3, 1, 1, 3, 1, 1]",[2 3 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.47,0.53,7
Gy(GiGyGx)^2,810,190,"[2, 3, 2, 1, 3, 2, 1]",[2 3 2 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.81,0.19,7
Gy(GxGxGy)^2,506,494,"[2, 1, 1, 2, 1, 1, 2]",[2 1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.506,0.494,7
(GxGxGy)^2Gy,969,31,"[1, 1, 2, 1, 1, 2, 2]",[1 1 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.969,0.031,7
Gy(GxGxGyGxGyGy),217,783,"[2, 1, 1, 2, 1, 2, 2]",[2 1 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.217,0.783,7
(GiGyGx)^2Gy,490,510,"[3, 2, 1, 3, 2, 1, 2]",[3 2 1 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.49,0.51,7
(GxGxGyGxGyGy)Gy,416,584,"[1, 1, 2, 1, 2, 2, 2]",[1 1 2 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.416,0.584,7
